Daily_demand,Demand,Diesel_engines,Fuel_oil_gas,Gas_turbine,Generation,Non_renewable_waste,Peak_Load,Renewable_waste,Solar_PV,date
-,559,559,559,0,559,0,28 (21h),0,0,"2019,10,30"
-,559,559,559,0,559,0,29 (21h),0,0,"2019,10,29"
-,550,532,532,0,550,9,29 (21h),9,0,"2019,10,28"
-,512,508,508,0,512,2,26 (21h),2,0,"2019,10,27"
-,516,495,495,0,516,11,27 (21h),11,0,"2019,10,26"
-,540,507,507,0,540,16,28 (21h),16,0,"2019,10,25"
-,545,516,516,0,545,14,28 (21h),14,0,"2019,10,24"
-,545,516,516,0,545,14,29 (21h),14,0,"2019,10,23"
-,553,527,527,0,553,13,29 (21h),13,0,"2019,10,22"
-,554,552,552,0,554,1,29 (21h),1,0,"2019,10,21"
-,495,466,466,0,495,15,26 (22h),15,0,"2019,10,20"
-,537,509,509,0,537,14,28 (22h),14,0,"2019,10,19"
-,562,534,534,1,562,14,29 (14h),14,0,"2019,10,18"
-,561,532,532,0,561,14,29 (21h),14,0,"2019,10,17"
-,572,549,549,0,572,12,30 (21h),12,0,"2019,10,16"
-,578,578,578,0,578,0,30 (21h),0,0,"2019,10,15"
-,579,562,562,0,579,8,30 (14h),8,0,"2019,10,14"
-,540,516,516,0,540,12,29 (22h),12,0,"2019,10,13"
-,530,508,508,0,530,11,27 (22h),11,0,"2019,10,12"
-,611,587,587,0,611,12,32 (14h),12,0,"2019,10,11"
-,614,587,587,0,614,13,32 (14h),13,0,"2019,10,10"
-,603,577,577,0,603,13,32 (14h),13,0,"2019,10,09"
-,594,567,567,0,594,13,31 (14h),13,0,"2019,10,08"
-,602,577,577,0,602,13,32 (14h),13,0,"2019,10,07"
-,531,508,508,0,531,12,28 (22h),12,0,"2019,10,06"
-,560,548,548,0,560,6,29 (22h),6,0,"2019,10,05"
-,596,575,575,0,596,10,31 (14h),10,0,"2019,10,04"
-,599,578,578,0,599,10,31 (14h),10,0,"2019,10,03"
-,623,599,600,1,623,11,33 (14h),11,0,"2019,10,02"
-,632,610,610,0,632,11,33 (14h),11,0,"2019,10,01"
,,,,,,,,,,"2019,09,31"
-,620,596,596,0,620,12,32 (14h),12,0,"2019,09,30"
-,548,524,524,0,548,12,29 (22h),12,0,"2019,09,29"
-,598,574,574,0,598,12,31 (22h),12,0,"2019,09,28"
-,641,616,616,0,641,13,34 (14h),13,0,"2019,09,27"
-,641,614,614,0,641,13,33 (14h),13,0,"2019,09,26"
-,643,617,617,0,643,13,34 (14h),13,0,"2019,09,25"
-,627,600,600,0,627,13,32 (14h),13,0,"2019,09,24"
-,615,590,590,0,615,12,32 (14h),12,0,"2019,09,23"
-,550,524,524,0,550,13,29 (22h),13,0,"2019,09,22"
-,588,560,560,0,588,14,30 (15h),14,0,"2019,09,21"
-,645,616,616,0,645,15,34 (14h),15,0,"2019,09,20"
-,638,607,608,1,638,15,33 (14h),15,0,"2019,09,19"
-,640,612,612,0,640,14,33 (14h),14,0,"2019,09,18"
-,568,541,541,0,568,13,30 (22h),13,0,"2019,09,17"
-,625,598,598,0,625,13,33 (14h),13,0,"2019,09,16"
-,512,484,484,0,512,14,28 (22h),14,0,"2019,09,15"
-,558,529,529,0,558,15,29 (22h),15,0,"2019,09,14"
-,587,557,557,0,587,15,31 (14h),15,0,"2019,09,13"
-,588,557,557,0,588,15,30 (14h),15,0,"2019,09,12"
-,587,559,559,0,587,14,30 (14h),14,0,"2019,09,11"
-,634,613,613,0,634,10,33 (14h),10,0,"2019,09,10"
-,595,594,594,0,595,0,31 (22h),0,0,"2019,09,09"
-,574,564,564,0,574,5,29 (22h),5,0,"2019,09,08"
-,637,612,612,0,637,13,32 (14h),13,0,"2019,09,07"
-,700,675,675,0,700,12,37 (14h),12,0,"2019,09,06"
-,710,694,694,0,710,8,38 (14h),8,0,"2019,09,05"
-,722,695,695,0,722,14,38 (14h),14,0,"2019,09,04"
-,725,699,699,0,725,13,38 (14h),13,0,"2019,09,03"
-,699,673,673,0,699,13,38 (14h),13,0,"2019,09,02"
-,621,594,594,0,621,14,32 (22h),14,0,"2019,09,01"
-,663,636,636,0,663,13,34 (22h),13,0,"2019,08,31"
-,685,657,657,0,685,14,36 (14h),14,0,"2019,08,30"
-,687,659,659,0,687,14,36 (14h),14,0,"2019,08,29"
-,686,657,657,0,686,14,36 (14h),14,0,"2019,08,28"
